province,date,ab_size_ha
AB,2006-06-29,11.6553889599
AB,2006-05-16,149.434622895
AB,2006-04-25,23.3195936257
AB,2006-04-24,50.1879024787
AB,2006-05-17,13.8506862446
AB,2006-07-05,1.49701466083
AB,2006-07-03,0.9495090812
AB,2006-07-04,48.7018610912
AB,2006-06-27,469.431069257
AB,2006-06-29,4542.03421206
AB,2006-06-28,5.53530824397
AB,2006-06-27,495.663282899
AB,2006-07-02,5.72219089739
AB,2006-07-03,42.0092745807
AB,2006-07-04,11.9150063847
AB,2006-04-25,6.3027766472
AB,2006-07-03,22.1978786037
AB,2006-07-03,3.779283187
AB,2006-07-03,19.9191337981
AB,2006-07-04,4.876411494
AB,2006-05-19,7.4559931662
AB,2006-07-02,11.6264313942
AB,2006-07-02,12.2964044337
AB,2006-06-29,15.173531478
AB,2006-07-04,36.9929672499
AB,2006-06-01,21.8275247801
AB,2006-06-01,0.0222162565
AB,2006-04-19,660.893547067
AB,2006-06-28,11.5503316114
AB,2006-04-22,28.2811703831
