province,date,bc_size_ha
BC,2006-07-24,0.511407407305
BC,2006-07-10,8.0144271001
BC,2006-07-03,0.00783413127573
BC,2006-04-15,45.0928878412
BC,2006-05-16,1.3667960274
BC,2006-05-17,3.1379236282
BC,2006-04-12,18.4799524551
BC,2006-07-26,11.54692083
BC,2006-06-20,0.133233940227
BC,2006-07-25,0.103793250019
BC,2006-08-04,18.2060087423
BC,2006-09-06,1.41351576948
BC,2006-07-05,5.28712628309
BC,2006-09-08,1.54544200021
BC,2006-05-03,43.0506748597
BC,2006-04-03,21.5979450713
BC,2006-04-09,6.74153112221
BC,2006-05-04,42.5353569201
BC,2006-05-08,74.3813336474
BC,2006-04-15,0.562147701623
BC,2006-07-17,60.116708402
BC,2006-07-24,441.685803725
BC,,2.07164875825
BC,,2.51933253497
BC,2006-08-05,101.060261511
BC,,46.2057269013
BC,,37.8294410611
BC,2006-07-24,152.401841548
BC,2006-09-07,53.9521238978
BC,,5.76428965678
BC,2006-07-24,131.0536229
BC,,15.8526221784
BC,,27.2872310914
BC,,8.01633973037
BC,2006-07-23,88.6490410683
BC,2006-08-21,65.8296237336
BC,2006-08-19,13.5093895454
BC,,6.5752331292
BC,2006-07-03,314.209427279
BC,2006-07-23,173.904881202
BC,2006-07-24,83.6808547903
BC,,53.0499521794
BC,,4.05248657171
BC,2006-08-07,39.0898162387
BC,,14.857136313
BC,2006-08-04,59.5287754956
BC,2006-07-28,66.8613301295
BC,,20.1749422695
BC,2006-06-27,177.559449198
BC,2006-08-30,172.333046148
BC,,12.8782566146
BC,2006-06-27,171.345714046
BC,,2.43103973074
BC,2006-07-04,16.1178018862
BC,,46.0784984755
BC,,2.88197346023
BC,2006-09-04,165.63339532
BC,,4.59127525175
BC,,7.02109870004
BC,2006-07-23,279.207595156
BC,,8.37142910442
BC,,8.55289790601
BC,,28.817446766
BC,,16.653958434
BC,2006-07-04,196.40858947
BC,,8.55223842617
BC,2006-06-07,424.687408134
BC,,2.52149063762
BC,2006-07-17,511.147129201
BC,2006-07-04,51.9684524282
BC,2006-07-23,150.7726828
BC,2006-07-23,716.991763678
BC,2006-07-04,88.2645717377
BC,,4.68122338093
BC,2006-07-03,176.534744201
BC,,55.9292106782
BC,2006-07-17,360.109790636
BC,2006-07-05,36.4764659871
BC,,20.5362060413
